date,equity,peak,drawdown
2001-01-01,1500.0,1500.0,0.0
2001-02-01,1471.021129953764,1500.0,-0.019319246697490633
2001-03-01,1453.7688125547802,1500.0,-0.030820791630146505
2001-04-01,1478.733498264783,1500.0,-0.014177667823477957
2001-05-01,1476.8275141192628,1500.0,-0.015448323920491447
2001-06-01,1468.9909025368959,1500.0,-0.020672731642069397
2001-07-01,1465.9854203968353,1500.0,-0.022676386402109783
2001-08-01,1448.669740009076,1500.0,-0.03422017332728278
2001-09-01,1423.9903480241842,1500.0,-0.05067310131721059
2001-10-01,1427.809836522783,1500.0,-0.04812677565147805
2001-11-01,1449.95521758996,1500.0,-0.033363188273359934
2001-12-01,1450.5321218471192,1500.0,-0.03297858543525389
2002-01-01,1447.732306374008,1500.0,-0.03484512908399473
2002-02-01,1442.535312087909,1500.0,-0.038309791941393945
2002-03-01,1451.2236894285024,1500.0,-0.03251754038099841
2002-04-01,1434.2860755247061,1500.0,-0.04380928298352926
2002-05-01,1432.5642114204825,1500.0,-0.04495719238634499
2002-06-01,1410.4661290035403,1500.0,-0.05968924733097314
2002-07-01,1388.2323624976316,1500.0,-0.0745117583349123
2002-08-01,1390.17209523951,1500.0,-0.07321860317365991
2002-09-01,1359.5678507934608,1500.0,-0.09362143280435942
2002-10-01,1381.6044678431585,1500.0,-0.07893035477122767
2002-11-01,1398.6413589568342,1500.0,-0.06757242736211055
2002-12-01,1382.0749499720678,1500.0,-0.07861670001862153
2003-01-01,1375.2006106013282,1500.0,-0.08319959293244783
2003-02-01,1371.4853322871445,1500.0,-0.08567644514190365
2003-03-01,1370.9603936635376,1500.0,-0.0860264042243083
2003-04-01,1394.021876322291,1500.0,-0.07065208245180599
2003-05-01,1409.2988245752242,1500.0,-0.0604674502831839
2003-06-01,1411.3372623840091,1500.0,-0.05910849174399391
2003-07-01,1416.4495541561514,1500.0,-0.05570029722923242
2003-08-01,1422.2919136986775,1500.0,-0.05180539086754832
2003-09-01,1418.1292468214203,1500.0,-0.054580502119053076
2003-10-01,1433.2557990928524,1500.0,-0.04449613393809837
2003-11-01,1436.4177005935344,1500.0,-0.042388199604310395
2003-12-01,1449.4110940151972,1500.0,-0.03372593732320184
2004-01-01,1455.1545135633648,1500.0,-0.029896990957756775
2004-02-01,1459.1012007182442,1500.0,-0.027265866187837218
2004-03-01,1454.257604032135,1500.0,-0.030494930645243334
2004-04-01,1448.7507005013624,1500.0,-0.0341661996657584
2004-05-01,1453.6795670027898,1500.0,-0.030880288664806854
2004-06-01,1457.989038082189,1500.0,-0.028007307945207338
2004-07-01,1448.5592601667297,1500.0,-0.034293826555513496
2004-08-01,1449.3132092386825,1500.0,-0.033791193840878364
2004-09-01,1451.0074185590497,1500.0,-0.03266172096063358
2004-10-01,1454.7415014775531,1500.0,-0.03017233234829786
2004-11-01,1466.7640577085745,1500.0,-0.022157294860950416
2004-12-01,1474.1773061668823,1500.0,-0.017215129222078462
2005-01-01,1467.6390157035432,1500.0,-0.021573989530971227
2005-02-01,1473.760347744001,1500.0,-0.01749310150399941
2005-03-01,1467.2511268310755,1500.0,-0.021832582112616405
2005-04-01,1461.7587105956593,1500.0,-0.025494192936227122
2005-05-01,1471.1355431325144,1500.0,-0.019242971244990414
2005-06-01,1470.3945249686005,1500.0,-0.019736983354266324
2005-07-01,1481.6209006429663,1500.0,-0.0122527329046892
2005-08-01,1478.845269609004,1500.0,-0.014103153593997386
2005-09-01,1479.955184659649,1500.0,-0.01336321022690068
2005-10-01,1472.9490489457878,1500.0,-0.018033967369474824
2005-11-01,1485.8294520503327,1500.0,-0.009447031966444808
