group,test,status,error,cagr_pct,return_pct,max_drawdown_pct,sharpe,calmar,spy_cagr_pct,spy_max_drawdown_pct,rebalances,turnover_events,params,start,end
baseline,baseline_audited_adjusted,ok,,9.228585048408133,864.2760762840951,25.85513634267259,3.8051577933962326,0.35693430218647976,8.877168381260358,50.78480023038985,308.0,659.0,{},2001-01-01T00:00:00,2026-09-04T00:00:00
cost,cost_2x,ok,,9.207536685612606,859.5169741854345,25.8711017287518,3.7975969376585237,0.3559004476171893,8.877168381260358,50.78480023038985,308.0,659.0,"{""fee_rate"": 0.001, ""slippage_rate"": 0.0004}",2001-01-01T00:00:00,2026-09-04T00:00:00
cost,cost_3x,ok,,9.186492771101108,854.7814482893422,25.887065474989146,3.7900291267363793,0.35486806258425313,8.877168381260358,50.78480023038985,308.0,659.0,"{""fee_rate"": 0.0015, ""slippage_rate"": 0.0006000000000000001}",2001-01-01T00:00:00,2026-09-04T00:00:00
cost,cost_5x,ok,,9.14441822041776,845.3806428861201,25.918987969832617,3.7748728050241223,0.3528076879799877,8.877168381260358,50.78480023038985,308.0,659.0,"{""fee_rate"": 0.0025, ""slippage_rate"": 0.001}",2001-01-01T00:00:00,2026-09-04T00:00:00
parameter,sma_slow_180,ok,,8.187323513159917,654.057045410495,33.59120937153964,3.264605992647161,0.24373410979649562,8.877168381260358,50.78480023038985,308.0,670.0,"{""sma_slow"": 180}",2001-01-01T00:00:00,2026-09-04T00:00:00
parameter,sma_slow_220,ok,,8.513278076260168,714.6028361501795,25.85513634267256,3.6267718717537614,0.3292683497556903,8.877168381260358,50.78480023038985,308.0,648.0,"{""sma_slow"": 220}",2001-01-01T00:00:00,2026-09-04T00:00:00
parameter,sma_fast_40,ok,,9.228585048408133,864.2760762840951,25.85513634267259,3.8051577933962326,0.35693430218647976,8.877168381260358,50.78480023038985,308.0,659.0,"{""sma_fast"": 40}",2001-01-01T00:00:00,2026-09-04T00:00:00
parameter,sma_fast_60,ok,,9.228585048408133,864.2760762840951,25.85513634267259,3.8051577933962326,0.35693430218647976,8.877168381260358,50.78480023038985,308.0,659.0,"{""sma_fast"": 60}",2001-01-01T00:00:00,2026-09-04T00:00:00
parameter,mom_fast_42,ok,,9.120004232525346,839.9666257029628,26.42029638121155,3.74481992078249,0.3451893234252633,8.877168381260358,50.78480023038985,308.0,668.0,"{""mom_fast"": 42}",2001-01-01T00:00:00,2026-09-04T00:00:00
parameter,mom_fast_84,ok,,9.15632496847767,848.0319291055126,26.445728823887293,3.7813615392342625,0.34623076676968545,8.877168381260358,50.78480023038985,308.0,651.0,"{""mom_fast"": 84}",2001-01-01T00:00:00,2026-09-04T00:00:00
parameter,mom_mid_105,ok,,9.283134004245586,876.715582215474,25.898747325104498,3.7939262976642154,0.3584394985485318,8.877168381260358,50.78480023038985,308.0,668.0,"{""mom_mid"": 105}",2001-01-01T00:00:00,2026-09-04T00:00:00
parameter,mom_mid_147,ok,,9.289596561850688,878.1995003931652,26.435533745595063,3.776758521346793,0.35140567431889314,8.877168381260358,50.78480023038985,308.0,664.0,"{""mom_mid"": 147}",2001-01-01T00:00:00,2026-09-04T00:00:00
parameter,breadth_strong_055,ok,,9.228585048408133,864.2760762840951,25.85513634267259,3.8051577933962326,0.35693430218647976,8.877168381260358,50.78480023038985,308.0,659.0,"{""breadth_strong"": 0.55}",2001-01-01T00:00:00,2026-09-04T00:00:00
parameter,breadth_strong_065,ok,,9.228585048408133,864.2760762840951,25.85513634267259,3.8051577933962326,0.35693430218647976,8.877168381260358,50.78480023038985,308.0,659.0,"{""breadth_strong"": 0.65}",2001-01-01T00:00:00,2026-09-04T00:00:00
parameter,breadth_weak_030,ok,,9.228585048408133,864.2760762840951,25.85513634267259,3.8051577933962326,0.35693430218647976,8.877168381260358,50.78480023038985,308.0,659.0,"{""breadth_weak"": 0.3}",2001-01-01T00:00:00,2026-09-04T00:00:00
parameter,breadth_weak_040,ok,,9.228585048408133,864.2760762840951,25.85513634267259,3.8051577933962326,0.35693430218647976,8.877168381260358,50.78480023038985,308.0,659.0,"{""breadth_weak"": 0.4}",2001-01-01T00:00:00,2026-09-04T00:00:00
parameter,top_n_1,ok,,9.446092766577042,914.8025126197067,28.441281783553364,3.7693351558095736,0.33212612703128586,8.877168381260358,50.78480023038985,308.0,587.0,"{""top_n"": 1}",2001-01-01T00:00:00,2026-09-04T00:00:00
parameter,top_n_3,ok,,9.02387096517041,818.9364636714752,25.790224612290846,3.748483202044539,0.34989501258046063,8.877168381260358,50.78480023038985,308.0,722.0,"{""top_n"": 3}",2001-01-01T00:00:00,2026-09-04T00:00:00
parameter,bear_spy_010,ok,,9.245831486801116,868.1924521063358,25.85513634267258,3.845050699970612,0.35760134327898874,8.877168381260358,50.78480023038985,308.0,659.0,"{""bear_spy"": 0.1}",2001-01-01T00:00:00,2026-09-04T00:00:00
