signal_date,execution_date,regime,breadth,targets,equity_before_open,equity_after_close
2001-01-01T00:00:00,2001-02-01T00:00:00,BEAR,0.0,{'SPY': 0.2},1500.0,1471.021129953764
2001-02-01T00:00:00,2001-03-01T00:00:00,BEAR,0.0,{'SPY': 0.2},1471.021129953764,1454.5000185995268
2001-03-01T00:00:00,2001-04-01T00:00:00,BEAR,0.0,{'SPY': 0.2},1454.5000185995268,1479.477675980504
2001-04-01T00:00:00,2001-05-01T00:00:00,BEAR,0.0,{'SPY': 0.2},1479.477675980504,1477.5707819740858
2001-05-01T00:00:00,2001-06-01T00:00:00,BEAR,0.0,{'SPY': 0.2},1477.5707819740858,1470.5788303118588
2001-06-01T00:00:00,2001-07-01T00:00:00,BEAR,0.0,{'SPY': 0.2},1470.5788303118588,1467.5696234163431
2001-07-01T00:00:00,2001-08-01T00:00:00,BEAR,0.0,{'SPY': 0.2},1467.5696234163431,1450.2351728751232
2001-08-01T00:00:00,2001-09-01T00:00:00,BEAR,0.0,{'SPY': 0.2},1450.2351728751232,1426.5579731043879
2001-09-01T00:00:00,2001-10-01T00:00:00,BEAR,0.0,{'SPY': 0.2},1426.5579731043879,1430.3852412332415
2001-10-01T00:00:00,2001-11-01T00:00:00,BEAR,0.0,{'SPY': 0.2},1430.3852412332415,1452.5703541971038
2001-11-01T00:00:00,2001-12-01T00:00:00,BEAR,0.0,{'SPY': 0.2},1452.5703541971038,1454.196848328938
2001-12-01T00:00:00,2002-01-01T00:00:00,BEAR,0.0,{'SPY': 0.2},1454.196848328938,1451.3885937473788
2002-01-01T00:00:00,2002-02-01T00:00:00,BEAR,0.0,{'SPY': 0.2},1451.3885937473788,1446.1785444584148
2002-02-01T00:00:00,2002-03-01T00:00:00,BEAR,0.0,{'SPY': 0.2},1446.1785444584148,1455.7106414208183
2002-03-01T00:00:00,2002-04-01T00:00:00,BEAR,0.0,{'SPY': 0.2},1455.7106414208183,1438.7211754343903
2002-04-01T00:00:00,2002-05-01T00:00:00,BEAR,0.0,{'SPY': 0.2},1438.7211754343903,1436.9940806272223
2002-05-01T00:00:00,2002-06-01T00:00:00,BEAR,0.0,{'SPY': 0.2},1436.9940806272223,1415.827258898789
2002-06-01T00:00:00,2002-07-01T00:00:00,BEAR,0.0,{'SPY': 0.2},1415.827258898789,1393.5085036296296
2002-07-01T00:00:00,2002-08-01T00:00:00,BEAR,0.0,{'SPY': 0.2},1393.5085036296296,1395.4555503819454
2002-08-01T00:00:00,2002-09-01T00:00:00,BEAR,0.0,{'SPY': 0.2},1395.4555503819454,1365.9824567241578
