symbol,entry_date,exit_date,qty,entry_price,exit_price,pnl,r_multiple,reason
SPY,1995-03-01T00:00:00,2001-03-01T00:00:00,1.70126582278481,48.97854375,110.72539546083723,104.91195905343741,13.988261207124987,STOP
SPY,2004-02-01T00:00:00,2008-01-01T00:00:00,0.6092399178538285,113.72273694763183,126.67751086142403,7.819334681440062,0.9744253742182637,STOP
SPY,2011-01-01T00:00:00,2011-08-01T00:00:00,0.48268847630974204,126.73534108428954,110.8520965385437,-7.723999467769331,-0.9578780417761404,STOP
QQQ,2012-02-01T00:00:00,2015-08-01T00:00:00,0.851656349761254,60.892177068328856,88.63083258263725,23.56013099229844,2.935828525696098,STOP
SPY,2012-04-01T00:00:00,2020-03-01T00:00:00,0.4032100628509614,140.66812738952638,250.4227415185111,44.17531897421452,5.48539740042398,STOP
QQQ,2016-09-01T00:00:00,2022-05-01T00:00:00,0.416952223284059,116.50329935760497,289.2671515633719,71.94967883448585,8.671404236065982,STOP
SPY,2020-09-01T00:00:00,2022-06-01T00:00:00,0.1501860374786036,350.28003345336913,371.78205658830916,3.175081830351466,0.3634702667746534,STOP
SPY,2024-01-01T00:00:00,2025-04-01T00:00:00,0.1579412904233093,472.2544356628418,492.0708166381836,3.053671395397299,0.34881321764004924,STOP
QQQ,2023-12-01T00:00:00,2026-09-04T00:00:00,0.14068475013019094,387.82755,718.8162299682617,46.487215785422656,5.319306601345999,END_OF_TEST
SPY,2025-07-01T00:00:00,2026-09-04T00:00:00,0.1149669183802875,616.4832573486328,770.035964440918,17.573779622248846,1.9813276088508476,END_OF_TEST
