date,equity,peak,drawdown
2001-01-01,1500.0,1500.0,0.0
2001-02-01,1500.0,1500.0,0.0
2001-03-01,1500.0,1500.0,0.0
2001-04-01,1500.0,1500.0,0.0
2001-05-01,1500.0,1500.0,0.0
2001-06-01,1500.0,1500.0,0.0
2001-07-01,1500.0,1500.0,0.0
2001-08-01,1500.0,1500.0,0.0
2001-09-01,1500.0,1500.0,0.0
2001-10-01,1500.0,1500.0,0.0
2001-11-01,1500.0,1500.0,0.0
2001-12-01,1500.0,1500.0,0.0
2002-01-01,1500.0,1500.0,0.0
2002-02-01,1500.0,1500.0,0.0
2002-03-01,1500.0,1500.0,0.0
2002-04-01,1500.0,1500.0,0.0
2002-05-01,1500.0,1500.0,0.0
2002-06-01,1500.0,1500.0,0.0
2002-07-01,1500.0,1500.0,0.0
2002-08-01,1500.0,1500.0,0.0
2002-09-01,1500.0,1500.0,0.0
2002-10-01,1500.0,1500.0,0.0
2002-11-01,1500.0,1500.0,0.0
2002-12-01,1500.0,1500.0,0.0
2003-01-01,1500.0,1500.0,0.0
2003-02-01,1500.0,1500.0,0.0
2003-03-01,1500.0,1500.0,0.0
2003-04-01,1500.0,1500.0,0.0
2003-05-01,1500.0,1500.0,0.0
2003-06-01,1500.0,1500.0,0.0
2003-07-01,1500.0,1500.0,0.0
2003-08-01,1500.0,1500.0,0.0
2003-09-01,1500.0,1500.0,0.0
2003-10-01,1500.0,1500.0,0.0
2003-11-01,1500.0,1500.0,0.0
2003-12-01,1500.0,1500.0,0.0
2004-01-01,1500.0,1500.0,0.0
2004-02-01,1500.0,1500.0,0.0
2004-03-01,1500.0,1500.0,0.0
2004-04-01,1500.0,1500.0,0.0
2004-05-01,1500.0,1500.0,0.0
2004-06-01,1500.0,1500.0,0.0
2004-07-01,1500.0,1500.0,0.0
2004-08-01,1500.0,1500.0,0.0
2004-09-01,1500.0,1500.0,0.0
2004-10-01,1500.0,1500.0,0.0
2004-11-01,1500.0,1500.0,0.0
2004-12-01,1500.0,1500.0,0.0
2005-01-01,1500.0,1500.0,0.0
2005-02-01,1500.0,1500.0,0.0
2005-03-01,1500.0,1500.0,0.0
2005-04-01,1500.0,1500.0,0.0
2005-05-01,1500.0,1500.0,0.0
2005-06-01,1500.0,1500.0,0.0
2005-07-01,1500.0,1500.0,0.0
2005-08-01,1500.0,1500.0,0.0
2005-09-01,1500.0,1500.0,0.0
2005-10-01,1500.0,1500.0,0.0
2005-11-01,1500.0,1500.0,0.0
2005-12-01,1500.0,1500.0,0.0
2006-01-01,1500.0,1500.0,0.0
2006-02-01,1500.0,1500.0,0.0
2006-03-01,1500.0,1500.0,0.0
2006-04-01,1500.0,1500.0,0.0
2006-05-01,1500.0,1500.0,0.0
2006-06-01,1500.0,1500.0,0.0
2006-07-01,1500.0,1500.0,0.0
2006-08-01,1500.0,1500.0,0.0
2006-09-01,1500.0,1500.0,0.0
2006-10-01,1500.0,1500.0,0.0
2006-11-01,1500.0,1500.0,0.0
2006-12-01,1500.0,1500.0,0.0
2007-01-01,1500.0,1500.0,0.0
2007-02-01,1500.0,1500.0,0.0
2007-03-01,1500.0,1500.0,0.0
2007-04-01,1500.0,1500.0,0.0
2007-05-01,1500.0,1500.0,0.0
2007-06-01,1500.0,1500.0,0.0
2007-07-01,1500.0,1500.0,0.0
2007-08-01,1500.0,1500.0,0.0
2007-09-01,1500.0,1500.0,0.0
2007-10-01,1500.0,1500.0,0.0
2007-11-01,1500.0,1500.0,0.0
2007-12-01,1500.0,1500.0,0.0
2008-01-01,1500.0,1500.0,0.0
2008-02-01,1500.0,1500.0,0.0
2008-03-01,1500.0,1500.0,0.0
2008-04-01,1500.0,1500.0,0.0
2008-05-01,1500.0,1500.0,0.0
2008-06-01,1500.0,1500.0,0.0
2008-07-01,1500.0,1500.0,0.0
2008-08-01,1500.0,1500.0,0.0
2008-09-01,1500.0,1500.0,0.0
2008-10-01,1500.0,1500.0,0.0
2008-11-01,1500.0,1500.0,0.0
2008-12-01,1500.0,1500.0,0.0
2009-01-01,1500.0,1500.0,0.0
2009-02-01,1500.0,1500.0,0.0
2009-03-01,1500.0,1500.0,0.0
2009-04-01,1500.0,1500.0,0.0
2009-05-01,1500.0,1500.0,0.0
2009-06-01,1500.0,1500.0,0.0
2009-07-01,1500.0,1500.0,0.0
2009-08-01,1500.0,1500.0,0.0
2009-09-01,1500.0,1500.0,0.0
2009-10-01,1503.551866752332,1503.551866752332,0.0
2009-11-01,1550.931116619745,1550.931116619745,0.0
2009-12-01,1561.855311723998,1561.855311723998,0.0
2010-01-01,1534.4095904326928,1561.855311723998,-0.01757251205363597
2010-02-01,1558.212989642959,1561.855311723998,-0.0023320483361667366
2010-03-01,1603.3362247275013,1603.3362247275013,0.0
2010-04-01,1616.0040151421188,1616.0040151421188,0.0
2010-05-01,1554.848663782768,1616.0040151421188,-0.03784356399261324
2010-06-01,1512.3222587152127,1616.0040151421188,-0.06415934332798534
2010-07-01,1511.328229871644,1616.0040151421188,-0.064774458658303
2010-08-01,1465.7343139703462,1616.0040151421188,-0.09298844542694851
2010-09-01,1474.8100868676884,1616.0040151421188,-0.08737226328117331
2010-10-01,1496.7341591050176,1616.0040151421188,-0.07380542060510409
2010-11-01,1496.7969332252906,1616.0040151421188,-0.07376657533016373
2010-12-01,1543.1425771802653,1616.0040151421188,-0.04508741146626771
2011-01-01,1561.4215430586064,1616.0040151421188,-0.03377619830895784
2011-02-01,1588.8718842909402,1616.0040151421188,-0.016789643216816197
2011-03-01,1585.6143675149233,1616.0040151421188,-0.018805428292529847
2011-04-01,1608.6768688989391,1616.0040151421188,-0.0045341138849430696
2011-05-01,1599.8555075549634,1616.0040151421188,-0.009992863529943108
2011-06-01,1589.8358092137778,1616.0040151421188,-0.016193156504032302
2011-07-01,1581.9197089373843,1616.0040151421188,-0.021091721236680794
2011-08-01,1534.7655387947345,1616.0040151421188,-0.05027120946864716
2011-09-01,1479.8421474959266,1616.0040151421188,-0.08425837211438947
2011-10-01,1565.6758089250843,1616.0040151421188,-0.031143614586012225
2011-11-01,1560.6012924209876,1616.0040151421188,-0.03428377788792736
2011-12-01,1563.764112123804,1616.0040151421188,-0.032326592340626514
2012-01-01,1608.9054403047878,1616.0040151421188,-0.004392671534734216
2012-02-01,1658.927488180513,1658.927488180513,0.0
2012-03-01,1691.6520375247496,1691.6520375247496,0.0
2012-04-01,1683.7089831695089,1691.6520375247496,-0.004695442194402544
2012-05-01,1615.7942399532494,1691.6520375247496,-0.04484243561252499
2012-06-01,1658.897528500493,1691.6520375247496,-0.019362438786278635
2012-07-01,1672.8173721606738,1691.6520375247496,-0.011133888616736476
2012-08-01,1702.448942292536,1702.448942292536,0.0
2012-09-01,1726.5237199608869,1726.5237199608869,0.0
2012-10-01,1705.040178837408,1726.5237199608869,-0.012443235430304789
2012-11-01,1711.7251936362402,1726.5237199608869,-0.008571284688160485
2012-12-01,1713.9409851359515,1726.5237199608869,-0.0072879015095259625
2013-01-01,1775.9145513857982,1775.9145513857982,0.0
