signal_index,entry_index,exit_index,entry,initial_stop,final_trail_stop,qty,notional,outcome,net_pnl,r_multiple,equity_before,equity_after
701,702,708,9486.136848,9041.991133714286,9041.991133714286,0.022515133386083085,213.58163645135778,EMA20_EXIT,-6.4095530653453645,-0.6409553065345365,2000.0,1993.5904469346547
739,740,745,9902.540111999999,9526.720111999999,9526.720111999999,0.026523208543114435,262.6471364971317,INITIAL_STOP,-10.53376385644848,-1.0567630751486796,1993.5904469346547,1983.056683078206
1209,1210,1231,7760.501789999999,7515.784647142857,7916.796428571428,0.040517322569343775,314.43475432539975,TRAIL_STOP,5.633348812476383,0.5681480373755126,1983.056683078206,1988.6900318906826
2467,2468,2497,3734.8868279999997,3659.5611137142855,3857.7707142857143,0.13200605203340537,493.0276649558483,TIME,29.888192398498944,3.0058170875512173,1988.6900318906826,2018.5782242891814
2501,2502,2506,4101.060047999999,4014.581476571428,4020.597857142857,0.11670973461653814,478.63362984856707,TRAIL_STOP,-10.432352213557495,-1.0336336821656862,2018.5782242891814,2008.1458720756239
2561,2562,2580,3855.8110079999997,3765.762436571428,3815.31,0.11150348307682659,429.93635747796964,TRAIL_STOP,-5.45635915835097,-0.543422590382965,2008.1458720756239,2002.6895129172729
2584,2585,2594,3951.54015,3861.667292857143,3861.667292857143,0.1114179284260378,440.2724176053147,INITIAL_STOP,-10.969944694446506,-1.0955212601544844,2002.6895129172729,1991.7195682228264
2690,2691,2720,4034.05665,3957.602364285714,4035.037857142857,0.13025558669568899,525.4584157093957,TIME,11.155829740625189,1.1202209305579423,1991.7195682228264,2002.8753979634516
2776,2777,2777,5363.902566,5193.575423142857,5193.575423142857,0.05879495670409121,315.37041913293376,INITIAL_STOP,-10.696113588313471,-1.0680757873594544,2002.8753979634516,1992.1792843751382
2848,2849,2858,5355.760937999999,5225.998080857142,5315.949285714286,0.0767623081149457,411.1205713127465,EMA20_EXIT,1.3442822716731622,0.1349559532333764,1992.1792843751382,1993.5235666468113
2912,2913,2919,5751.2200139999995,5611.874299714285,5611.874299714285,0.0715315708439835,411.3938018707767,INITIAL_STOP,-10.860642770713024,-1.0895926140447962,1993.5235666468113,1982.6629238760984
2934,2935,2964,5957.101181999999,5746.656896285714,6511.442142857143,0.04710659919195681,280.6187777264061,TIME,55.958479231165526,5.6447799126406135,1982.6629238760984,2038.6214031072639
3009,3010,3013,8149.569587999999,7657.306730857143,7657.306730857143,0.0207066344080846,168.75015804196062,INITIAL_STOP,-10.552093923399777,-1.035218595008989,2038.6214031072639,2028.069309183864
3208,3209,3237,10578.085194,10063.673765428572,12717.262142857144,0.019712521889492365,208.5207359356401,TRAIL_STOP,41.65927466173139,4.108269325223004,2028.069309183864,2069.7285838455955
3279,3280,3285,11942.387999999999,10923.139428571427,10923.139428571427,0.010153208166603946,121.25355137035297,EMA20_EXIT,-8.346271791788691,-0.8065088202319899,2069.7285838455955,2061.382312053807
3472,3473,3483,11567.182974000001,11093.878688285715,11314.845714285713,0.0217765016530843,251.8927791548396,TRAIL_STOP,-6.042543560588363,-0.5862613184613994,2061.382312053807,2055.3397684932183
4401,4402,4415,7896.288942,7661.597513428572,7816.637142857142,0.04378813024838852,345.76372867120597,EMA20_EXIT,-1.5359968463907157,-0.149464032169899,2055.3397684932183,2053.8037716468275
4443,4444,4473,8463.522366,8220.933794571427,8559.138571428572,0.04233100841379815,358.2694364855148,TIME,28.558056529302632,2.780991730909479,2053.8037716468275,2082.36182817613
4532,4533,4557,9377.215068,9022.475068,9135.237857142856,0.02935053600067838,275.2262884394378,EMA20_EXIT,-3.8414165164578327,-0.36894803434064083,2082.36182817613,2078.5204116596724
4584,4585,4606,9788.827374,9518.077374,9824.735,0.038384495136835985,375.73919673263,TRAIL_STOP,0.5500913309444094,0.052931049207755286,2078.5204116596724,2079.0705029906167
4615,4616,4625,10248.639318,9931.593603714286,9955.587142857143,0.03278818178751671,336.0342490332753,EMA20_EXIT,-3.933180417971837,-0.37835950366418025,2079.0705029906167,2075.1373225726447
5082,5083,5086,8722.964243999999,8407.169958285713,8678.199285714285,0.03285584028031023,286.60031997172104,TRAIL_STOP,-2.099489049238511,-0.20234699905408443,2075.1373225726447,2073.0378335234063
5122,5123,5143,9315.822791999999,8950.532792,9302.764285714286,0.028375233835081816,264.33865008918474,EMA20_EXIT,5.754951796871013,0.5552191767855678,2073.0378335234063,2078.7927853202773
5167,5168,5178,9311.211870000001,8833.89329857143,9150.796428571428,0.021775737523669354,202.75850570839452,EMA20_EXIT,0.13290581202476284,0.012786826369929524,2078.7927853202773,2078.925691132302
5366,5367,5375,9564.432504,9268.458218285716,9268.458218285716,0.035120038994522124,335.9032425009549,EMA20_EXIT,-6.533526414631326,-0.6285483355658368,2078.925691132302,2072.3921647176703
5587,5588,5617,9520.063632,9363.530774857143,10175.669285714286,0.06619671430472698,630.1969324103255,TIME,98.44395106615772,9.500513729221623,2072.3921647176703,2170.836115783828
5639,5640,5649,11349.159377999998,10958.395092285713,11360.800714285715,0.027776797869535533,315.24330603184956,TRAIL_STOP,-0.37050114585132826,-0.03413441882208144,2170.836115783828,2170.4656146379766
5671,5672,5682,11747.258982,11365.883267714285,11365.883267714285,0.02845573975132477,334.27694438320435,INITIAL_STOP,-11.574649872221844,-1.0665591561700407,2170.4656146379766,2158.8909647657547
6062,6063,6088,11415.242591999999,11148.449734857142,11171.071428571428,0.04046005931129097,461.8613923250948,EMA20_EXIT,-3.130437919661444,-0.2900042633696514,2158.8909647657547,2155.7605268460934
6152,6153,6153,13298.159099999999,12975.539099999998,12975.539099999998,0.03341021212023578,444.29431633964373,INITIAL_STOP,-11.74322886391388,-1.0894743379585283,2155.7605268460934,2144.0172979821796
6166,6167,6173,13452.489959999999,13057.085674285714,13138.448571428571,0.027111710411902586,364.720012114547,TRAIL_STOP,-9.306294930768571,-0.8681175230747529,2144.0172979821796,2134.711003051411
6190,6191,6202,13942.788,13370.485142857144,13370.485142857144,0.01865018649136806,260.0355964096087,INITIAL_STOP,-11.23277518893161,-1.0523930567533677,2134.711003051411,2123.4782278624793
6211,6212,6213,14026.334706,13577.166134571427,13577.166134571427,0.023637876322343737,331.5527650362256,INITIAL_STOP,-11.33400216595016,-1.0674940780870743,2123.4782278624793,2112.1442256965292
6216,6217,6234,14105.080452,13576.393309142857,14493.072142857141,0.019975369689170342,281.7541965241899,EMA20_EXIT,10.122821661329795,0.9585350790135135,2112.1442256965292,2122.267047357859
6296,6297,6297,18034.30614,17379.73756857143,17379.73756857143,0.016211189629270543,292.3575566678581,INITIAL_STOP,-11.241731909930154,-1.059407855757425,2122.267047357859,2111.025315447929
6311,6312,6322,18672.293712000002,17777.820854857146,17777.820854857146,0.011800387784773075,220.34030663277994,INITIAL_STOP,-11.02716714290307,-1.0447214500185436,2111.025315447929,2099.998148305026
6334,6335,6343,19068.802998000003,18205.03585514286,18205.03585514286,0.012156043244240085,231.801193859583,EMA20_EXIT,-4.7556992624778704,-0.45292413865377396,2099.998148305026,2095.2424490425483
6469,6470,6496,21339.787104,20597.771389714286,22422.43571428571,0.014118585420118004,301.2876070749566,TRAIL_STOP,14.60435490307961,1.3940491621629072,2095.2424490425483,2109.846803945628
6520,6521,6550,24579.31488,23401.06630857143,26242.318571428572,0.00895331789533823,220.06641977025726,TIME,28.66426918468405,2.7171896206946355,2109.846803945628,2138.511073130312
6552,6553,6571,28782.20529,27255.933861428573,30633.572857142855,0.0070056709216260865,201.63865866042553,TRAIL_STOP,12.510945716751069,1.1700613453862347,2138.511073130312,2151.022018847063
6573,6574,6576,34458.670355999995,32321.061784571422,32321.061784571422,0.005031374891544168,173.37448882517572,INITIAL_STOP,-11.123595313661873,-1.0342614084093908,2151.022018847063,2139.898423533401
6595,6596,6616,36776.713872,33782.34530057143,35963.905,0.0035732047884013255,131.41073010909585,EMA20_EXIT,8.294334268737083,0.7752082227381126,2139.898423533401,2148.192757802138
6641,6642,6647,39553.919202000005,35945.150630571436,35945.150630571436,0.0029763515106092714,117.72636716738978,INITIAL_STOP,-10.987051243151456,-1.0229111147728236,2148.192757802138,2137.2057065589865
6730,6731,6732,37031.234766,33817.651908857144,33817.651908857144,0.003325269335764288,123.13882943286823,INITIAL_STOP,-10.944088232747715,-1.0241492617356212,2137.2057065589865,2126.261618326239
6791,6792,6821,43711.970646,40674.73207457143,43874.39,0.003500320386959507,153.00590200636933,TIME,11.42450524650979,1.0746095539741707,2126.261618326239,2137.686123572749
