signal_index,entry_index,exit_index,entry,stop,target,qty,notional,outcome,net_pnl,r_multiple,equity_before,equity_after
305,306,307,10713.982367999999,10101.609510857143,11938.728082285714,0.016329920379973918,174.95847902188441,SL,-10.372875662152328,-1.0372875662152328,2000.0,1989.6271243378476
351,352,361,10882.176,10447.643142857143,11751.241714285714,0.022893862818798735,249.13504451402392,TIME,8.713620065186396,0.8759048324782271,1989.6271243378476,1998.340744403034
369,370,379,11380.465638,11045.028138,12051.340638,0.02978708022214323,338.9908429244504,SL,-10.725427732154682,-1.0734333233403293,1998.340744403034,1987.6153166708793
688,689,698,9268.883406,8794.378763142859,10217.892691714285,0.020944108204113857,194.12849698657942,TIME,1.4790222909616786,0.14882379689435485,1987.6153166708793,1989.094338961841
706,707,713,9418.923408,9109.315908,10038.138408,0.0321228384157658,302.56255468565814,SL,-10.599116225667284,-1.065722828531022,1989.094338961841,1978.4952227361737
724,725,729,9249.659561999999,9015.328490571428,9718.321704857142,0.04221581053409847,390.48187557430424,TP,18.902232211791,1.9107685471840588,1978.4952227361737,1997.3974549479647
748,749,749,9662.952204000001,9409.877561142857,10169.101489714287,0.039462615305861905,381.32536554538245,SL,-10.813844426534322,-1.0827934520239029,1997.3974549479647,1986.5836105214303
1199,1200,1209,7396.3489739999995,7186.215045428571,7816.616831142856,0.047269463432844785,349.621447363052,TIME,16.349822032678592,1.646024053162017,1986.5836105214303,2002.9334325541088
1235,1236,1245,8158.851444,7912.913586857143,8650.727158285714,0.04072031560782997,332.23100579707926,TIME,-0.16434706707158492,-0.016410636958814166,2002.9334325541088,2002.7690854870373
1247,1248,1254,8231.465963999999,8054.506678285713,8585.384535428571,0.05658841460065163,465.8056087419845,SL,-11.026509993801978,-1.101126442754186,2002.7690854870373,1991.7425754932353
1255,1256,1258,8173.03428,8004.319637142857,8510.463565714286,0.059026962383452355,482.4293870042266,SL,-11.00801257928771,-1.1053649919153519,1991.7425754932353,1980.7345629139477
1441,1442,1451,6986.236968,6813.353396571429,7332.004110857143,0.05728521647680992,400.2080970701722,TIME,9.435355910629653,0.9527128053694258,1980.7345629139477,1990.1699188245773
1680,1681,1683,6659.571647999999,6594.115933714285,6790.483076571428,0.15202415408206243,1012.4157463360864,SL,-12.16602272356986,-1.22261145729258,1990.1699188245773,1978.0038961010075
1751,1752,1753,6646.329,6583.585071428572,6771.816857142857,0.1576251233495225,1047.6284284465085,SL,-12.182726452028813,-1.231820268508379,1978.0038961010075,1965.8211696489786
2458,2459,2467,3635.206896,3590.1522531428573,3725.316181714286,0.21815966623929473,793.0555231421426,TP,17.890062234288273,1.8201108534692159,1965.8211696489786,1983.711231883267
2501,2502,2506,4101.060047999999,4036.201119428571,4230.777905142856,0.15292506949899914,627.1548928599686,SL,-11.286271209049545,-1.1378945713116468,1983.711231883267,1972.4249606742173
2582,2583,2592,3916.7832,3847.3342714285714,4055.681057142857,0.14200542767521385,556.2044734270926,TIME,-1.218319070820937,-0.12353515039725409,1972.4249606742173,1971.2066416033965
2616,2617,2622,3883.656576,3840.9312188571425,3969.107290285714,0.23068345982602798,895.8953357277853,TP,17.717625319213987,1.7976426159768126,1971.2066416033965,1988.9242669226105
2639,2640,2649,3988.6275659999997,3941.7793517142854,4082.323994571428,0.21227322078838654,846.6788199601627,TIME,3.902775961896988,0.3924509371023573,1988.9242669226105,1992.8270428845076
2651,2652,2655,4043.848608,3999.8889651428567,4131.7678937142855,0.22666551788883538,916.601038996366,SL,-11.968519210576522,-1.2011598551224745,1992.8270428845076,1980.8585236739311
2661,2662,2671,3994.0886579999997,3935.9133008571425,4110.439372285714,0.17024893537049315,679.9893417998617,TIME,-3.617769844452117,-0.3652729158811584,1980.8585236739311,1977.240753829479
2676,2677,2679,3996.7291859999996,3959.4316859999994,4071.3241859999994,0.26506344310335594,1059.386799192833,SL,-12.20478138272966,-1.2345265855047436,1977.240753829479,1965.0359724467494
2711,2712,2721,4107.811398,4054.889255142857,4213.655683714285,0.18565347757659187,762.6294712674614,TIME,5.231257476648669,0.5324337620277769,1965.0359724467494,1970.267229923398
2765,2766,2775,5239.427676,5055.293033142857,5607.696961714286,0.053500720976551654,280.31315817049847,TIME,-0.3156610303769412,-0.03204245856428458,1970.267229923398,1969.951568893021
2790,2791,2800,5081.016,4910.078142857143,5422.8917142857135,0.05762186334319968,292.77760959661106,TIME,-1.4835162854105473,-0.1506144931516446,1969.951568893021,1968.4680526076104
2801,2802,2806,5132.306256,5055.936970285714,5285.044827428571,0.12887825479814508,661.4426733628819,SL,-11.285573016054125,-1.1466351207584229,1968.4680526076104,1957.1824795915563
2812,2813,2822,5158.0314,5054.641757142857,5364.810685714286,0.0946507999014884,488.2117979269941,TIME,4.597188234714558,0.46977614838182524,1957.1824795915563,1961.779667826271
2828,2829,2838,5238.787547999999,5155.920047999999,5404.522547999999,0.11836845975963256,620.107213064702,TIME,6.212128401260104,0.6333156065526346,1961.779667826271,1967.991796227531
2843,2844,2850,5258.461482,5171.260053428571,5432.864339142857,0.11284171764545717,593.3738258013562,TP,18.351002254706366,1.8649470277146112,1967.991796227531,1986.3427984822374
2851,2852,2857,5509.521684,5389.182041142857,5750.200969714287,0.08253069193666521,454.70463682058096,SL,-10.920057182041045,-1.099513859378658,1986.3427984822374,1975.4227413001963
2864,2865,2867,5442.898362,5295.872647714286,5736.949790571428,0.0671794981883704,365.65118064946324,SL,-10.669622612668554,-1.080236892043265,1975.4227413001963,1964.7531186875278
2921,2922,2928,5830.9959659999995,5666.009894571428,6160.968108857142,0.059542999650674756,347.1949907666239,SL,-10.575738580167043,-1.0765463079892426,1964.7531186875278,1954.1773801073607
2931,2932,2941,5732.1462,5578.412271428571,6039.614057142857,0.06355712750810905,364.3187469285227,TIME,10.099113321677933,1.0335922853761716,1954.1773801073607,1964.2764934290387
2942,2943,2952,5937.1872,5777.367557142858,6256.826485714286,0.061452912117468464,364.8574432265587,TP,18.816584141312433,1.9158793789222932,1964.2764934290387,1983.0930775703512
3015,3016,3025,7938.747432,7528.218860571429,8759.804574857142,0.024152924005624205,191.74396342494032,TIME,-0.4012310669222836,-0.04046517750078221,1983.0930775703512,1982.691846503429
3036,3037,3046,7980.24573,7705.050372857142,8530.636444285714,0.03602335204867189,287.47520136670056,TIME,-1.180931314077073,-0.11912403999236708,1982.691846503429,1981.5109151893519
3050,3051,3060,8481.696,8239.713857142857,8965.660285714286,0.04094332936705917,347.2688729192683,TIME,9.568571487086505,0.9657853927261499,1981.5109151893519,1991.0794866764384
3073,3074,3074,8943.03825,8716.44075,9396.23325,0.04393427744517125,392.9059236782787,SL,-10.807767398449048,-1.0856188786806953,1991.0794866764384,1980.2717192779894
3089,3090,3095,8704.110474000001,8483.262259714287,9145.806902571429,0.044833319700653934,390.2341675906525,SL,-10.747916068211907,-1.0854991225275505,1980.2717192779894,1969.5238032097775
3098,3099,3099,8572.604178,8335.300963714284,9047.210606571429,0.041498043107803376,355.7462977247793,SL,-10.618374548488466,-1.0782682119589984,1969.5238032097775,1958.905428661289
3151,3152,3161,8143.518378,7894.5880208571425,8641.379092285715,0.0393464551922268,320.41858096705243,TIME,3.058895864352909,0.3123066401876634,1958.905428661289,1961.964324525642
3191,3192,3201,9172.854204000001,8868.297418285716,9781.967775428573,0.03221015614418492,295.4590661986831,TIME,10.42559978215613,1.0627715959796364,1961.964324525642,1972.389924307798
3246,3247,3256,12181.245761999999,10760.197190571427,15023.342904857142,0.006939910302731477,84.53675296380793,TIME,-0.5148382243493648,-0.05220450763862476,1972.389924307798,1971.8750860834487
3277,3278,3287,11424.214386,10652.802957428572,12967.037243142857,0.012780955875486251,146.01237997956125,TIME,-5.957020508231043,-0.6041985671681583,1971.8750860834487,1965.9180655752175
3295,3296,3305,11577.315,11037.341785714287,12657.261428571428,0.01820384802027419,210.7516827428407,TIME,-3.313913885859385,-0.3371365209861633,1965.9180655752175,1962.604151689358
3306,3307,3311,11885.066538000001,11449.129038000001,12756.941538000001,0.02251015514482418,267.53469167693845,TP,19.013971377530684,1.9376267354946697,1962.604151689358,1981.6181230668888
3486,3487,3496,11745.438618,11261.152903714286,12714.01004657143,0.020459184161457547,240.30209174275743,TIME,2.0386151747468673,0.20575257674690275,1981.6181230668888,1983.6567382416356
3986,3987,3989,9409.501524000001,9018.927238285716,10190.650095428573,0.02539410312962495,238.9458520988192,SL,-10.432016819882422,-1.0517965753620893,1983.6567382416356,1973.2247214217532
3991,3992,4001,9203.010234,8892.051662571428,9824.927376857142,0.03172809664574579,291.9939981361395,TIME,-1.905183479191005,-0.19310354857284343,1973.2247214217532,1971.3195379425622
4004,4005,4014,9233.24628,8991.044494285714,9717.64985142857,0.04069580932545304,375.75443006582856,TIME,-3.0851862056435095,-0.3130072163606184,1971.3195379425622,1968.2343517369186
4016,4017,4022,9198.299292,9051.270363428572,9492.357149142856,0.06693357459857736,615.6750518411234,TP,18.304366662576975,1.859978375687206,1968.2343517369186,1986.5387183994956
4026,4027,4036,9371.483922000001,9177.313207714287,9759.82535057143,0.05115443710724539,479.39298488951044,TIME,-6.804271343540092,-0.6850378782470571,1986.5387183994956,1979.7344470559556
4421,4422,4431,7842.598206,7600.453205999999,8326.888206,0.040879110596046896,320.598439423433,TIME,9.450482580803605,0.9547222451836739,1979.7344470559556,1989.184929636759
4443,4444,4447,8463.522366,8281.58093742857,8827.405223142856,0.054665530144934034,462.6629370308964,TP,18.850217126701168,1.8952704543305952,1989.184929636759,2008.0351467634603
4478,4479,4488,8703.460344,8449.367843999999,9211.645343999999,0.039513861030204746,343.90732251471394,TIME,-3.0613817188322945,-0.3049131608843214,2008.0351467634603,2004.973765044628
4551,4552,4558,9433.63635,9225.130992857143,9850.647064285715,0.048079670290459765,453.5661253480963,SL,-11.010595750147385,-1.0983281619051315,2004.973765044628,1993.9631692944806
4559,4560,4567,9437.677158,9254.177872285714,9804.675729428573,0.054331632996085434,512.7644116839946,SL,-11.085833214242214,-1.1119396170356235,1993.9631692944806,1982.8773360802384
4578,4579,4584,9486.116843999998,9325.620058285713,9807.11041542857,0.061773116740485044,585.9870032182935,TP,18.515928588844424,1.8675818470391923,1982.8773360802384,2001.3932646690828
4613,4614,4615,9802.980204,9601.894489714285,10205.151632571427,0.049764680494045144,487.84217774150943,TP,18.916764707705532,1.8903595851596207,2001.3932646690828,2020.3100293767884
4617,4618,4627,10265.132615999999,10030.505830285712,10734.38618742857,0.0430536953235382,441.9518921049786,TIME,-1.609608490976207,-0.1593427214211007,2020.3100293767884,2018.7004208858123
5111,5112,5121,8849.7696,8551.30817142857,9446.692457142857,0.033818447337537486,299.2854671669402,TIME,5.030176758003248,0.4983579243319313,2018.7004208858123,2023.7305976438156
