period,breakout_lookback,initial_stop_atr,trail_atr,fee_rate,slippage_rate,initial_equity,final_equity,return_pct,trades,win_rate_pct,profit_factor,avg_r,max_drawdown_pct,max_consecutive_losses,total_fees_est
DEV_BASE_COST,20,2.0,3.0,0.001,0.0002,2000.0,2390.9466120552847,19.547330602764234,90,40.0,1.9045441382929307,0.4060727485763739,3.4822373827139423,7,61.9932426596633
DEV_2X_COST,20,2.0,3.0,0.002,0.0004,2000.0,2310.6848278354278,15.534241391771397,90,36.666666666666664,1.6624103319842114,0.329983855759067,3.845057943936007,7,121.87723265150701
OOS_AUDIT_BASE_COST,20,2.0,3.0,0.001,0.0002,2000.0,2064.51092282141,3.225546141070512,11,54.54545454545454,2.5372058369494086,0.5854385581514312,1.239219840365124,3,11.166837841617987
