period,bars,trades,win_rate_pct,profit_factor,avg_r,return_pct,max_drawdown_pct,max_consecutive_losses,final_equity,buy_hold_return_pct
2018-2020,6560,99,51.515151515151516,1.4361592545714637,0.16752228937421235,8.480457061262726,2.4342322942093553,3,2169.6091412252545,110.8804905345354
2021-2022,4380,59,37.28813559322034,0.7411726965727604,-0.146727668599936,-4.320810135428199,6.084800651476922,6,1913.583797291436,-42.806625586069245
2023-2024 IN-SAMPLE,4386,83,37.34939759036144,0.6203601644105844,-0.22167994382404657,-8.904057703060442,8.904057703060436,6,1821.9188459387913,465.69520674027024
2025+ OUT-OF-SAMPLE,2632,33,33.33333333333333,0.8139350411207734,-0.10428933117909553,-1.7628127990164444,2.8095259880466528,4,1964.743744019671,-23.61156706847909
FULL,17958,291,42.61168384879725,0.9454167413108602,-0.025658391420427876,-4.106620080761736,14.01490632902399,6,1917.8675983847652,421.1655298873915
