period,bars,trades,win_rate_pct,profit_factor,avg_r,return_pct,max_drawdown_pct,max_consecutive_losses,final_equity,buy_hold_return_pct
2018-2020 DEV,6560,40,37.5,1.7169379445941515,0.34741557416215846,6.952854732780911,3.4822373827139423,7,2139.057094655618,110.8804905345354
2021-2022 DEV,4380,14,50.0,2.077665570573644,0.3461858221506776,2.428950488829562,1.3144769492295771,3,2048.579009776591,-42.806625586069245
2023-2024 DEV,4386,31,41.935483870967744,2.375183561028717,0.6166215091364385,9.850388514327513,1.5338088203082347,4,2197.00777028655,465.69520674027024
2025+ OUT-OF-SAMPLE,2632,11,54.54545454545454,2.5372058369494086,0.5854385581514312,3.225546141070512,1.239219840365124,3,2064.51092282141,-23.61156706847909
FULL,17958,102,42.15686274509804,1.9706197405804247,0.4215425122996369,23.4101503437935,3.4822373827139423,7,2468.20300687587,421.1655298873915
