period,breakout_lookback,initial_stop_atr,trail_atr,fee_rate,slippage_rate,initial_equity,final_equity,return_pct,trades,win_rate_pct,profit_factor,avg_r,max_drawdown_pct,max_consecutive_losses,total_fees_est
DEV_BASE_COST,15,1.5,2.5,0.001,0.0002,2000.0,2571.4343225132416,28.57171612566207,103,39.80582524271845,2.033610981793397,0.5009148724423581,4.782152797931557,8,95.1904060411176
DEV_BASE_COST,15,1.5,3.0,0.001,0.0002,2000.0,2534.6161446050114,26.730807230250562,103,37.86407766990291,1.906003105452292,0.47298280579879415,5.120222615956754,9,94.09407089903586
DEV_BASE_COST,15,1.5,3.5,0.001,0.0002,2000.0,2618.6039338556047,30.930196692780232,102,40.19607843137255,2.0223193461216984,0.5439870189199825,5.292500697009699,9,96.5600081889634
DEV_BASE_COST,15,2.0,2.5,0.001,0.0002,2000.0,2444.7510646782184,22.237553233910923,99,41.41414141414141,2.056746450553835,0.4139106591866333,3.5551991558757363,7,67.66054596760753
DEV_BASE_COST,15,2.0,3.0,0.001,0.0002,2000.0,2416.9445247264503,20.847226236322513,99,39.39393939393939,1.9149547971272942,0.3909669156587105,3.9619322665482746,8,67.05042419452846
DEV_BASE_COST,15,2.0,3.5,0.001,0.0002,2000.0,2417.627344072088,20.881367203604405,98,41.83673469387755,1.9240601353798341,0.3954355809269943,4.029884638431756,8,66.8474260685089
DEV_BASE_COST,15,2.5,2.5,0.001,0.0002,2000.0,2351.453815215486,17.5726907607743,98,42.857142857142854,2.053021227323766,0.33580405757213344,3.1246391234245006,7,52.6122427366092
DEV_BASE_COST,15,2.5,3.0,0.001,0.0002,2000.0,2329.1431552112235,16.45715776056118,98,40.816326530612244,1.9093787418157468,0.31646269891568407,3.451977513242075,8,52.187257904373105
DEV_BASE_COST,15,2.5,3.5,0.001,0.0002,2000.0,2339.073750341134,16.953687517056704,97,43.29896907216495,1.9651453538823787,0.328405483861446,3.462072638528079,8,52.1488267946899
DEV_BASE_COST,20,1.5,2.5,0.001,0.0002,2000.0,2524.3381229852257,26.216906149261288,94,40.42553191489361,2.0099664113257285,0.5095046936217141,4.290577344468198,7,88.22025060546305
DEV_BASE_COST,20,1.5,3.0,0.001,0.0002,2000.0,2509.6960854542563,25.4848042727128,94,38.297872340425535,1.924325063626928,0.4972683714487057,4.524268510573783,8,87.64747678272177
DEV_BASE_COST,20,1.5,3.5,0.001,0.0002,2000.0,2599.7082945276566,29.98541472638283,93,40.86021505376344,2.0628714142690003,0.5810757232650834,4.6976286960803915,8,90.07732247829584
DEV_BASE_COST,20,2.0,2.5,0.001,0.0002,2000.0,2405.505465764008,20.275273288200403,90,42.22222222222222,2.015142283055332,0.41933177764292284,3.0788155403787965,6,62.36213567922231
DEV_BASE_COST,20,2.0,3.0,0.001,0.0002,2000.0,2390.9466120552847,19.547330602764234,90,40.0,1.9045441382929307,0.4060727485763739,3.4822373827139423,7,61.9932426596633
DEV_BASE_COST,20,2.0,3.5,0.001,0.0002,2000.0,2392.628141994053,19.631407099702635,89,42.69662921348314,1.9127510638802416,0.41211829929615085,3.7131496734130556,7,61.776449578483025
DEV_BASE_COST,20,2.5,2.5,0.001,0.0002,2000.0,2325.12230688124,16.256115344061996,89,43.82022471910113,2.037122350702602,0.3444347714283413,2.6445307331274117,6,48.49733508755462
DEV_BASE_COST,20,2.5,3.0,0.001,0.0002,2000.0,2310.41814033392,15.520907016695995,89,41.57303370786517,1.9072163225256265,0.33034724941835386,2.9714922909419497,7,48.20018389887009
DEV_BASE_COST,20,2.5,3.5,0.001,0.0002,2000.0,2324.1836712191766,16.20918356095884,88,44.31818181818182,1.9813505688908044,0.3474961959037697,2.984642841318596,7,48.19364874688243
DEV_BASE_COST,25,1.5,2.5,0.001,0.0002,2000.0,2566.579500376692,28.3289750188346,83,43.373493975903614,2.2386868184553035,0.6166051926088489,4.134741343950206,7,81.15586973537687
DEV_BASE_COST,25,1.5,3.0,0.001,0.0002,2000.0,2553.3037940796903,27.665189703984506,83,39.75903614457831,2.1285838046770773,0.6042723101338631,4.504338363033187,7,80.61032210111662
DEV_BASE_COST,25,1.5,3.5,0.001,0.0002,2000.0,2638.765402718325,31.938270135916234,82,42.68292682926829,2.2591319295244783,0.6950032070706962,4.504338363033218,7,82.68589330179819
DEV_BASE_COST,25,2.0,2.5,0.001,0.0002,2000.0,2442.8456742916587,22.142283714582934,79,45.56962025316456,2.276907731111694,0.5164384003645138,2.942445834508358,6,57.04112280888879
DEV_BASE_COST,25,2.0,3.0,0.001,0.0002,2000.0,2432.1606582314666,21.60803291157334,79,41.77215189873418,2.1438773357272054,0.5055915017243177,3.3620177397456597,6,56.74097748004231
DEV_BASE_COST,25,2.0,3.5,0.001,0.0002,2000.0,2427.0112143206206,21.35056071603103,78,44.871794871794876,2.116997490034306,0.5065543013698318,3.5667591576902637,6,56.39167306314208
DEV_BASE_COST,25,2.5,2.5,0.001,0.0002,2000.0,2328.7094862416398,16.435474312081986,79,45.56962025316456,2.1349111029600647,0.39180293993569215,2.589387364426328,6,44.588238148849875
DEV_BASE_COST,25,2.5,3.0,0.001,0.0002,2000.0,2315.8674929536087,15.793374647680425,79,41.77215189873418,1.9937776088552235,0.3779904184009422,2.9902187648311496,6,44.329248112673824
DEV_BASE_COST,25,2.5,3.5,0.001,0.0002,2000.0,2319.1902985550128,15.959514927750629,78,44.871794871794876,2.011500749302242,0.38643169574775893,3.134010749082494,6,44.16534505784442
DEV_BASE_COST,30,1.5,2.5,0.001,0.0002,2000.0,2635.2558439561008,31.762792197805044,78,46.15384615384615,2.5875796231346473,0.7236589717820997,3.6070482156942902,6,76.4737498016766
