signal_date,execution_date,symbol,side,qty,fill,fee,regime,bootstrap
1993-02-01,1993-03-01,SPY,BUY,12.206681952683674,24.576703248505968,0.15,BEAR,False
1993-03-01,1993-04-01,SPY,SELL,0.15101233829205296,24.945871826808652,0.0018835672176501107,BEAR,False
1993-04-01,1993-05-01,SPY,BUY,0.25287268389059686,24.31816923120231,0.0030747003603999305,BEAR,False
1993-05-01,1993-06-01,SPY,SELL,0.36780617591662346,25.192057692251854,0.004632897201629057,BEAR,False
1993-06-01,1993-07-01,SPY,BUY,0.0754290612728309,25.063285921963683,0.0009452500647531395,BEAR,False
1993-07-01,1993-08-01,SPY,BUY,0.04679736726497199,24.941796902983235,0.0005836052149586238,BEAR,False
1993-08-01,1993-09-01,SPY,SELL,0.3734002054130058,25.925145825518396,0.00484022738830535,BEAR,False
1993-09-01,1993-10-01,SPY,BUY,0.11834603359645239,25.638620815750944,0.0015171145402137825,BEAR,False
1993-10-01,1993-11-01,SPY,SELL,0.1829520525433487,26.13464169542926,0.002390693170331883,BEAR,False
1993-11-01,1993-12-01,SPY,SELL,0.05743082583703996,26.208082835388183,0.0007525759204209476,BEAR,False
1993-12-01,1994-01-01,SPY,BUY,0.028184272996320477,26.218567469507985,0.0003694756315665302,BEAR,False
1994-01-01,1994-02-01,SPY,SELL,0.29797760770173326,27.086951622907947,0.004035652522263345,BEAR,False
1994-02-01,1994-03-01,SPY,BUY,0.18999666230174753,26.493602384565392,0.0025168480127085217,BEAR,False
1994-03-01,1994-04-01,SPY,BUY,0.8155902661694923,24.530447076154303,0.010003396930048666,BEAR,False
1994-04-01,1994-05-01,SPY,SELL,0.445625903627407,25.510676244382093,0.005684109076774498,BEAR,False
1994-05-01,1994-06-01,SPY,SELL,0.19794902323663233,26.026345952031317,0.0025759448798116395,BEAR,False
1994-06-01,1994-07-01,SPY,BUY,0.21067045540453788,25.458168792758364,0.0026816420066679996,BEAR,False
1994-07-01,1994-08-01,SPY,SELL,0.24889944448494022,26.159815058073452,0.003255581717891628,BEAR,False
1994-08-01,1994-09-01,SPY,SELL,0.365116145229493,27.214117824248497,0.004968156897905424,BEAR,False
1994-09-01,1994-10-01,SPY,BUY,0.25776867380370805,26.481694668619394,0.0034130756574023736,BEAR,False
1994-10-01,1994-11-01,SPY,SELL,0.19863720809646795,27.088777286874674,0.0026904195455058994,BEAR,False
1994-11-01,1994-12-01,SPY,BUY,0.2207627089982317,26.367878603159348,0.0029105221554849834,BEAR,False
1994-12-01,1995-01-01,SPY,BUY,0.0004788928310985459,26.403977838246014,6.322337849610449e-06,BEAR,False
1995-01-01,1995-02-01,SPY,SELL,0.2805803433007186,27.232585205350034,0.003820464052941592,BEAR,False
1995-02-01,1995-03-01,SPY,SELL,0.38707730220272374,28.432374662265,0.005502763439743308,BEAR,False
1995-03-01,1995-04-01,SPY,SELL,0.18490103194775007,29.08557848681491,0.0026889767385046776,BEAR,False
1995-04-01,1995-05-01,SPY,SELL,0.23969397615268087,29.929295641507473,0.0035869359378810136,BEAR,False
1995-05-01,1995-06-01,SPY,SELL,0.3429672449725362,31.190987083977138,0.0053487434540828,BEAR,False
1995-06-01,1995-07-01,SPY,SELL,0.1569794594793253,31.81151540845384,0.0024968772470186557,BEAR,False
1995-07-01,1995-08-01,SPY,SELL,0.25032827892217197,32.842698377521124,0.004110728080002437,BEAR,False
1995-08-01,1995-09-01,SPY,SELL,0.06960989220508497,33.10976299567624,0.0011523835165324673,BEAR,False
1995-09-01,1995-10-01,SPY,SELL,0.26624567536311133,34.33909683823519,0.004571318014527604,BEAR,False
1995-10-01,1995-11-01,SPY,BUY,0.027051441161152042,34.233529114378236,0.0004630331492880941,BEAR,False
1995-11-01,1995-12-01,SPY,SELL,0.39177144783737305,36.02835267969386,0.0070574399462595815,BEAR,False
1995-12-01,1996-01-01,SPY,SELL,0.033368319771833015,36.27758549340371,0.0006052610366469529,BEAR,False
1996-01-01,1996-02-01,SPY,SELL,0.24872915920719424,37.579158556026115,0.004673516255677107,BEAR,False
1996-02-01,1996-03-01,SPY,SELL,0.17150984013463866,38.357976278652245,0.0032893851897199543,BEAR,False
1996-03-01,1996-04-01,SPY,SELL,0.017921307378205995,38.57124955237968,0.00034562360959484333,BEAR,False
1996-04-01,1996-05-01,SPY,SELL,0.030534290150703497,38.79376297170051,0.0005922700073077605,BEAR,False
1996-05-01,1996-06-01,SPY,SELL,0.19866693013398334,39.90346984021241,0.003963749927424495,BEAR,False
1996-06-01,1996-07-01,SPY,SELL,0.03349324039057689,40.13650941747315,0.0006721508791790407,BEAR,False
1996-07-01,1996-08-01,SPY,BUY,0.32461962292466207,38.28758173867869,0.006214450173353527,BEAR,False
1996-08-01,1996-09-01,SPY,SELL,0.052692006682636225,38.65663019808403,0.0010184477083628205,BEAR,False
1996-09-01,1996-10-01,SPY,SELL,0.4357146731623245,41.19564240664451,0.008974772933461553,BEAR,False
1996-10-01,1996-11-01,SPY,SELL,0.2095239951114127,42.5635051539041,0.004459037822895596,BEAR,False
1996-11-01,1996-12-01,SPY,SELL,0.44195780496119574,45.74783947043869,0.010109307357036117,BEAR,False
1996-12-01,1997-01-01,SPY,BUY,0.11903279548664741,44.83368874304092,0.0026683396515311984,BEAR,False
1997-01-01,1997-02-01,SPY,SELL,0.32982205408398024,47.43313553679324,0.007822247097194493,BEAR,False
1997-02-01,1997-03-01,SPY,SELL,0.016519898605254917,47.63371949563097,0.000393452108129489,BEAR,False
1997-03-01,1997-04-01,SPY,BUY,0.2688744134831722,45.53486385707372,0.0061215799063033954,BEAR,False
1997-04-01,1997-05-01,SPY,SELL,0.3754985621080088,48.52209836183264,0.009109989082665764,BEAR,False
1997-05-01,1997-06-01,SPY,SELL,0.3688167403250333,51.82309332545523,0.009556612176927194,BEAR,False
1997-06-01,1997-07-01,SPY,SELL,0.18692384654244576,53.739639346423544,0.005022610049218628,BEAR,False
1997-07-01,1997-08-01,SPY,SELL,0.3842997923529475,57.990239213120915,0.011142818444050061,BEAR,False
1997-08-01,1997-09-01,SPY,BUY,0.23680094653240522,55.292046750696954,0.00654660450313952,BEAR,False
1997-09-01,1997-10-01,SPY,SELL,0.24895321827265962,58.050620509061794,0.007225944399227896,BEAR,False
1997-10-01,1997-11-01,SPY,BUY,0.10614718697389991,56.81630786635005,0.0030154456271280594,BEAR,False
1997-11-01,1997-12-01,SPY,SELL,0.1754309401550278,58.874345753452715,0.005164190913270189,BEAR,False
1997-12-01,1998-01-01,SPY,SELL,0.04537594436476569,59.543578354299434,0.0013509230493418789,BEAR,False
1998-01-01,1998-02-01,SPY,SELL,0.14175605760409524,61.13061592266795,0.00433281755605377,BEAR,False
1998-02-01,1998-03-01,SPY,SELL,0.2391039816289153,64.58544699951311,0.007721318766433433,BEAR,False
1998-03-01,1998-04-01,SPY,SELL,0.20721447866736753,67.69199570206206,0.0070133807996782364,BEAR,False
1998-04-01,1998-05-01,SPY,SELL,0.05633524375556849,68.57411265356929,0.0019315696758303196,BEAR,False
1998-05-01,1998-06-01,SPY,BUY,0.09741099843856865,67.1070298045344,0.0032684813877532407,BEAR,False
1998-06-01,1998-07-01,SPY,SELL,0.2009031292548112,70.21583857945033,0.007053290846931136,BEAR,False
1998-07-01,1998-08-01,SPY,BUY,0.09378050995919242,68.83910711264312,0.003227883285079571,BEAR,False
1998-08-01,1998-09-01,SPY,BUY,0.6832037777547744,59.367821669814276,0.020280160020944436,BEAR,False
1998-09-01,1998-10-01,SPY,SELL,0.16752003741425023,61.795832330932626,0.005176020072061284,BEAR,False
1998-10-01,1998-11-01,SPY,SELL,0.4871227151179698,68.45608465337435,0.01667325691134865,BEAR,False
1998-11-01,1998-12-01,SPY,SELL,0.20739870238768437,71.97631289014086,0.007463896948032588,BEAR,False
1998-12-01,1999-01-01,SPY,SELL,0.24212478132576462,76.4699680442543,0.009257637145351641,BEAR,False
1999-01-01,1999-02-01,SPY,SELL,0.17157373033841852,79.76278479854214,0.006842599265033189,BEAR,False
1999-02-01,1999-03-01,SPY,BUY,0.15163484487789006,76.86097692184411,0.00582740115635346,BEAR,False
1999-03-01,1999-04-01,SPY,SELL,0.19120401470554352,80.57756161528725,0.007703376638013112,BEAR,False
1999-04-01,1999-05-01,SPY,SELL,0.09858322832285661,82.90754939316348,0.004086646935757374,BEAR,False
1999-05-01,1999-06-01,SPY,BUY,0.08246240346337505,81.12589296306693,0.003344918058423502,BEAR,False
1999-06-01,1999-07-01,SPY,SELL,0.18819579272794132,85.37792380636614,0.008033883026102424,BEAR,False
1999-07-01,1999-08-01,SPY,BUY,0.1165573876479494,82.76243477788402,0.004823286596546979,BEAR,False
1999-08-01,1999-09-01,SPY,SELL,0.02449263781454003,83.07955118392425,0.0010174186784711985,BEAR,False
1999-09-01,1999-10-01,SPY,BUY,0.16018439746596008,79.98676375767783,0.006406315778887859,BEAR,False
1999-10-01,1999-11-01,SPY,SELL,0.24313592632635234,85.30593317343593,0.010370468541628628,BEAR,False
1999-11-01,1999-12-01,SPY,SELL,0.08834597311064166,87.27729551571136,0.003855298801400281,BEAR,False
1999-12-01,2000-01-01,SPY,SELL,0.22177785997711874,92.87649689090523,0.010298975361318241,BEAR,False
2000-01-01,2000-02-01,SPY,BUY,0.21447285883024636,87.58640964736834,0.009392453835874079,BEAR,False
2000-02-01,2000-03-01,SPY,BUY,0.04365349051161828,86.47381313531737,0.0018874418906030144,BEAR,False
2000-03-01,2000-04-01,SPY,SELL,0.29572123743158685,94.29021789510425,0.01394180995681709,BEAR,False
2000-04-01,2000-05-01,SPY,BUY,0.07190801959036677,92.0894942297537,0.0033109865775700483,BEAR,False
2000-05-01,2000-06-01,SPY,BUY,0.061757127819422615,90.49564056146318,0.0027943754206274036,BEAR,False
2000-06-01,2000-07-01,SPY,SELL,0.035648584336679875,91.56115998449326,0.0016320128668357232,BEAR,False
2000-07-01,2000-08-01,SPY,BUY,0.040712951631387405,90.45630748321064,0.0018413716356589307,BEAR,False
2000-08-01,2000-09-01,SPY,SELL,0.23069566782113826,96.72193990341732,0.01115666625948743,BEAR,False
